id,one,two
175,1226,1259
176,1199,583
177,202,1049
178,90,90
179,622,6
180,50,1133
181,1151,116
182,1300,863
183,1266,881
184,46,107
185,911,1237
186,908,926
187,596,196
188,73,357
189,1173,747
190,689,370
191,1154,1258
192,408,292
193,1001,1121
194,44,990
195,637,1206
196,987,1146
197,93,1143
198,677,1233
199,668,338
200,624,95
201,1142,1207
202,637,1220
203,990,855
204,274,123
205,260,159
206,759,217
207,943,54
208,845,1078
209,537,747
210,107,1053
211,142,830
212,1040,327
213,666,295
214,144,304
215,124,43
216,53,558
217,708,864
218,1257,1077
219,628,338
220,252,959
221,184,1316
222,285,358
223,1065,1292
224,584,1124
225,1099,648
226,462,574
227,669,450
228,57,676
229,252,1148
230,933,863
231,951,1079
232,486,336
233,4,267
234,458,1316
235,254,862
236,328,748
237,518,801
238,608,976
239,698,959
240,851,1034
241,354,530
242,920,990
243,800,704
244,306,64
245,804,868
246,377,125
247,543,589
248,660,902
249,725,495
250,1153,227
251,266,285
252,687,281
253,582,17
254,865,418
255,1102,926
256,159,104
257,148,1109
258,1071,1026
259,1120,719
260,170,133
261,650,1214
262,30,755
263,260,78
264,456,159
265,235,641
266,1,351
267,970,290
268,793,592
269,474,291
270,1143,1313
271,725,585
272,257,327
273,424,461
274,204,889
275,1173,25
276,708,870
277,815,727
278,214,216
279,387,961
280,1297,710
281,725,1140
282,828,129
283,415,619
284,530,1077
285,1215,663
286,1022,1090
287,787,446
288,104,1309
289,405,995
290,1012,284
291,530,136
292,535,41
293,399,1249
294,848,1055
295,83,74
296,589,1263
297,38,765
298,207,70
299,548,866
300,584,821
301,1093,1263
302,168,83
303,460,208
304,682,1035
305,675,646
306,188,174
307,856,880
308,653,363
309,839,947
310,153,517
311,905,773
312,634,627
313,865,1305
314,208,255
315,595,1208
316,991,1174
317,923,941
318,757,703
319,673,804
320,782,1178
321,1271,1070
322,1309,947
323,94,131
324,171,645
325,1217,849
326,676,130
327,989,142
328,879,1138
329,513,864
330,79,292
331,1062,1054
332,17,400
333,395,697
334,171,901
335,1090,413
336,130,1248
337,1058,683
338,1020,1022
339,193,619
340,28,745
341,940,928
342,911,465
343,766,642
344,700,20
345,75,1090
346,459,61
347,463,142
348,839,827
349,902,1249
350,497,873
351,368,499
352,400,191
353,900,76
354,65,533
355,547,782
356,1315,1143
357,524,643
358,668,451
359,854,968
360,887,1033
361,1027,732
362,601,1234
363,771,717
364,1266,1059
365,709,163
366,886,1265
367,504,643
368,571,1127
369,693,382
370,42,239
371,613,573
372,526,684
373,391,248
374,708,595
375,924,975
376,1206,525
377,923,372
378,492,226
379,25,1270
380,48,105
381,1042,999
382,734,1052
383,1123,81
384,1157,1034
385,962,1229
386,81,514
387,130,974
388,1169,455
389,879,650
390,257,927
391,1263,42
392,484,828
393,44,1239
394,75,665
395,424,688
396,1198,138
397,989,309
398,636,497
399,683,647
400,432,1221
401,371,830
402,47,108
403,1293,1283
404,968,1005
405,516,1082
406,688,563
407,46,904
408,1009,925
409,326,469
410,793,801
411,314,937
412,991,472
413,1255,180
414,459,544
415,273,898
416,519,20
417,811,868
418,1060,325
419,691,1271
420,493,1043
421,474,235
422,860,163
423,572,1026
424,434,141
425,579,1070
426,1226,650
427,1255,1232
428,1139,92
429,957,16
430,441,743
431,1067,362
432,691,447
433,280,940
434,757,386
435,719,1212
436,1268,217
437,599,618
438,962,13
439,105,699
440,528,971
441,1152,670
442,675,1214
443,605,205
444,602,376
445,572,201
446,883,1141
447,440,242
448,714,898
449,652,1270
450,100,1009
451,638,325
452,978,456
453,905,834
454,725,1137
455,368,1004
456,293,206
457,133,892
458,439,1026
459,47,501
460,600,159
461,459,800
462,71,360
463,345,61
464,807,582
465,433,108
466,474,1236
467,356,536
468,550,12
469,610,1025
470,749,497
471,605,376
472,737,575
473,603,1283
474,499,401
475,167,319
476,341,142
477,20,126
478,708,307
479,1067,18
480,897,1007
481,688,355
482,1255,139
483,508,563
484,591,1306
485,875,199
486,1263,206
487,390,116
488,915,659
489,18,202
490,853,393
491,1315,121
492,441,606
493,451,303
494,99,930
495,369,974
496,135,1245
497,235,1093
498,1315,687
499,727,466
500,746,651
501,416,1247
502,463,778
503,854,881
504,109,630
505,764,503
506,909,412
507,743,830
508,656,864
509,445,339
510,89,190
511,834,498
512,776,633
513,167,39
514,153,1236
515,677,115
516,409,1228
517,481,482
518,800,1267
519,286,162
520,649,585
521,542,570
522,1042,751
523,953,1054
524,1042,1165
525,1012,313
526,284,1016
527,763,693
528,727,757
529,452,878
530,963,795
531,146,42
532,1006,41
533,705,1033
534,577,332
535,887,160
536,1014,384
537,432,744
538,434,1119
539,642,993
540,850,321
541,440,589
542,991,989
543,737,1053
544,1185,237
545,522,862
546,93,458
547,727,957
548,243,435
549,1188,987
550,551,281
551,266,850
552,62,203
553,920,1316
554,251,759
555,323,533
556,795,487
557,1119,530
558,58,740
559,736,538
560,185,477
561,165,761
562,1045,733
563,1113,979
564,766,768
565,278,143
566,655,67
567,587,724
568,786,62
569,727,383
570,155,471
571,96,821
572,166,98
573,13,687
574,18,1049
575,1095,1049
576,886,192
577,1065,273
578,690,1193
579,886,908
580,545,303
581,509,1215
582,609,587
583,806,1115
584,352,877
585,673,989
586,841,598
587,1052,1260
588,122,275
589,1287,755
590,250,1028
591,714,7
592,472,1035
593,1004,1307
594,616,1214
595,724,1117
596,635,809
597,679,999
598,1213,1194
599,476,188
600,619,1220
601,738,379
602,684,505
603,772,222
604,134,813
605,773,672
606,362,752
607,575,455
608,1042,493
609,474,839
610,677,1061
611,42,954
612,495,439
613,600,180
614,860,964
615,680,1314
616,539,373
617,1211,290
618,1027,921
619,916,513
620,653,365
621,307,24
622,1111,48
623,927,975
624,288,544
625,90,132
626,282,1243
627,106,11
628,503,751
629,915,1189
630,860,598
631,605,138
632,1212,263
633,179,1184
634,769,1072
635,823,143
636,390,1115
637,854,1201
638,1108,941
639,141,1095
640,552,72
641,693,387
642,552,879
643,249,76
644,588,970
645,748,1313
646,804,962
647,576,1293
648,721,843
649,1169,635
650,615,1287
651,673,1266
652,891,853
653,1184,1027
654,676,882
655,791,1115
656,595,1262
657,820,772
658,1039,13
659,738,719
660,742,685
661,709,913
662,1021,1054
663,660,1071
664,367,202
665,1164,1252
666,374,970
667,667,598
668,475,26
669,423,583
670,1060,445
671,287,1205
672,925,1143
673,1114,827
674,897,1275
675,335,1130
676,602,495
677,985,1157
678,927,23
679,919,1084
680,63,809
681,842,293
682,946,424
683,704,595
684,691,715
685,617,509
686,1240,1264
687,1112,978
688,232,554
689,895,212
690,185,927
691,539,153
692,1219,1077
693,1254,853
694,574,207
695,1311,472
696,415,424
697,1119,685
698,394,1216
699,444,1136
700,180,533
701,8,1067
702,259,19
703,418,297
704,940,444
705,235,341
706,449,986
707,963,954
708,32,271
709,485,266
710,128,1105
711,345,428
712,1188,1182
713,716,120
714,727,533
715,70,135
716,692,582
717,828,60
718,3,1224
719,873,502
720,902,589
721,64,355
722,643,779
723,1094,514
724,539,579
725,1004,783
726,144,509
727,627,1199
728,171,802
729,609,59
730,139,956
731,605,245
732,1003,50
733,990,1012
734,10,283
735,140,1132
736,1074,1066
737,206,1058
738,246,869
739,155,51
740,415,620
741,757,424
742,84,687
743,212,1252
744,1145,278
745,502,498
746,84,892
747,1198,1247
748,1122,1108
749,1098,1040
750,1145,779
751,460,302
752,246,38
753,793,938
754,469,300
755,62,40
756,546,570
757,1009,826
758,793,145
759,1058,274
760,893,309
761,1001,782
762,497,1317
763,888,1300
764,83,948
765,880,1086
766,1233,264
767,505,1069
768,1107,1224
769,31,210
770,391,1104
771,1274,735
772,440,858
773,1119,640
774,418,239
775,1209,412
776,208,25
777,232,986
778,1234,1159
779,1067,93
780,790,799
781,716,726
782,522,1283
783,979,22
784,80,849
785,168,581
786,233,338
787,680,582
788,659,613
789,562,1223
790,967,979
791,822,664
792,1002,40
793,1218,118
794,845,951
795,1294,1000
796,805,1284
797,347,43
798,767,374
799,574,235
800,164,255
801,470,943
802,1041,378
803,1055,1126
804,201,348
805,991,1217
806,511,678
807,85,801
808,155,1132
809,732,1163
810,204,290
811,1032,950
812,702,255
813,993,132
814,968,257
815,204,1181
816,628,366
817,1007,152
818,193,51
819,578,507
820,243,1284
821,989,264
822,731,300
823,449,64
824,1252,298
825,851,1047
826,488,1146
827,425,474
828,135,60
829,585,82
830,839,1143
831,1001,154
832,763,940
833,1226,647
834,909,1185
835,1078,802
836,597,927
837,784,837
838,1238,93
839,422,1219
840,430,533
841,868,273
842,1052,960
843,1275,1085
844,411,195
845,22,25
846,908,888
847,1096,906
848,1033,251
849,590,1227
850,818,1176
851,714,726
852,936,1105
853,601,1215
854,995,928
855,249,1170
856,183,1170
857,408,389
858,342,272
859,180,1081
860,946,922
861,880,1125
862,680,259
863,1305,113
864,807,792
865,723,783
866,690,453
867,575,634
868,566,477
869,1305,514
870,1305,980
871,590,93
872,637,652
873,1154,190
874,1137,939
875,737,625
876,1074,217
877,608,251
878,800,632
879,391,919
880,811,853
881,849,1118
882,252,156
883,375,1157
884,410,1130
885,399,1059
886,639,592
887,865,524
888,1168,907
889,352,1207
890,852,347
891,473,1240
892,1222,1077
893,185,1108
894,660,1266
895,16,54
896,575,72
897,248,565
898,705,162
899,452,371
900,263,423
901,543,282
902,777,98
903,724,1073
904,1062,1253
905,1055,65
906,422,470
907,438,778
908,262,126
909,929,728
910,1108,559
911,99,1002
912,304,139
913,837,171
914,702,895
915,1308,1287
916,285,1195
917,861,31
918,140,732
919,1101,1162
920,1191,748
921,653,274
922,1024,652
923,225,215
924,1236,363
925,799,1157
926,1259,201
927,526,162
928,651,1177
929,171,927
930,727,930
931,507,1105
932,569,878
933,271,374
934,890,971
935,433,115
936,962,261
937,763,548
938,1059,550
939,46,426
940,579,1238
941,1241,542
942,1189,581
943,667,612
944,911,553
945,1280,1036
946,452,769
947,911,1242
948,8,578
949,141,1089
950,207,57
951,907,707
952,461,941
953,603,1118
954,869,952
955,838,673
956,380,319
957,1044,987
958,1015,803
959,102,939
960,157,202
961,163,437
962,917,766
963,857,492
964,989,971
965,153,299
966,123,748
967,320,1272
968,82,1070
969,362,512
970,380,61
971,408,960
972,379,387
973,774,79
974,586,823
975,18,963
976,1096,642
977,935,747
978,332,670
979,914,226
980,635,1161
981,1107,1296
982,1212,644
983,862,1201
984,716,1297
985,54,944
986,447,162
987,590,846
988,608,160
989,1042,873
990,372,1313
991,567,1135
992,661,499
993,1305,1292
994,323,220
995,672,658
996,470,416
997,516,1280
998,983,1097
999,1194,1024
1000,36,206
1001,274,223
1002,1244,850
1003,35,1258
1004,710,190
1005,1011,114
1006,1180,170
1007,33,496
1008,564,287
1009,518,15
1010,915,1268
1011,597,647
1012,1274,839
1013,873,1140
1014,1154,240
1015,416,210
1016,796,699
1017,324,1192
1018,578,866
1019,1305,1073
1020,636,264
1021,947,833
1022,121,615
1023,705,963
1024,715,509
1025,604,1244
1026,58,191
1027,457,361
1028,1262,393
1029,735,951
1030,1197,444
1031,1097,948
1032,426,736
1033,592,986
1034,913,315
1035,287,779
1036,1143,483
1037,967,846
1038,686,1129
1039,547,785
1040,749,318
1041,664,1017
1042,499,48
1043,848,854
1044,1312,232
1045,1053,663
1046,580,1130
1047,771,636
1048,650,1086
1049,1107,329
1050,289,329
1051,368,1001
1052,420,1172
1053,808,274
1054,669,16
1055,197,954
1056,1099,340
1057,87,340
1058,1255,312
1059,878,534
1060,824,55
1061,192,1196
1062,213,186
1063,891,264
1064,897,102
1065,266,150
1066,91,718
1067,1089,1034
1068,283,817
1069,964,1173
1070,562,1281
1071,1258,498
1072,410,1159
1073,238,88
1074,66,999
1075,1027,748
1076,151,803
1077,117,1075
1078,681,133
1079,542,1243
1080,634,189
1081,799,1153
1082,457,216
1083,1188,1068
1084,309,272
1085,1227,511
1086,684,26
1087,15,1215
1088,1199,662
1089,975,640
1090,903,81
1091,1137,1057
1092,237,1263
1093,915,1234
1094,304,398
1095,1043,696
1096,1059,238
1097,108,625
1098,321,1008
1099,446,1095
1100,668,1246
1101,1030,956
1102,1220,64
1103,620,597
1104,449,340
1105,1256,251
1106,991,131
1107,1105,940
1108,113,1313
1109,551,1252
1110,247,42
1111,551,536
1112,711,1254
1113,1153,236
1114,454,46
1115,1288,268
1116,846,942
1117,409,1123
1118,436,577
1119,569,1062
1120,846,184
1121,1143,1001
1122,332,715
1123,459,179
1124,483,687
1125,856,253
1126,1047,344
1127,574,1224
1128,588,308
1129,965,92
1130,722,1075
1131,96,372
1132,489,564
1133,917,854
1134,259,113
1135,1098,95
1136,46,426
1137,679,1163
1138,855,932
1139,1105,889
1140,962,562
1141,639,298
1142,448,202
1143,600,298
1144,40,768
1145,1045,125
1146,159,143
1147,387,1064
1148,357,357
1149,680,351
1150,737,864
1151,993,1068
1152,296,615
1153,1089,216
1154,721,1123
1155,792,308
1156,278,1209
1157,1012,1134
1158,597,370
1159,585,667
1160,813,878
1161,903,429
1162,302,1169
1163,365,892
1164,270,1251
1165,526,475
1166,1164,1261
1167,1266,855
1168,600,131
1169,1155,927
1170,432,691
1171,628,343
1172,315,261
1173,44,558
1174,1101,189
1175,1044,944
1176,328,731
1177,1241,515
1178,387,500
1179,1012,511
1180,256,1232
1181,1290,974
1182,740,79
1183,961,655
1184,131,196
1185,718,768
1186,916,248
1187,737,1155
1188,1035,829
1189,657,835
1190,885,127
1191,395,1055
1192,1020,1074
1193,1143,1085
1194,1178,1317
1195,381,573
1196,613,752
1197,757,228
1198,511,683
1199,391,804
1200,140,937
1201,134,1304
1202,883,719
1203,34,878
1204,26,980
1205,915,123
1206,453,1019
1207,658,585
1208,673,245
1209,1052,1090
1210,1071,93
1211,1048,1078
1212,409,106
1213,160,1043
1214,1035,846
1215,1021,32
1216,489,776
1217,637,957
1218,1144,862
1219,672,977
1220,850,16
1221,201,384
1222,499,418
1223,591,145
1224,870,758
1225,262,970
1226,1204,1196
1227,144,283
1228,716,97
1229,628,1052
1230,839,30
1231,1204,1072
1232,879,1152
1233,879,472
1234,131,133
1235,646,104
1236,811,230
1237,811,950
1238,798,1313
1239,1207,581
1240,297,823
1241,547,898
1242,357,576
1243,909,792
1244,925,888
1245,1243,393
1246,417,1246
1247,836,396
1248,510,937
1249,991,1177
1250,1065,481
1251,659,1175
1252,424,328
1253,1299,1257
1254,686,951
1255,1198,507
1256,1048,564
1257,771,397
1258,569,494
1259,367,687
1260,883,1184
1261,500,354
1262,599,4
1263,166,733
1264,274,1005
1265,284,1131
1266,778,1128
1267,301,173
1268,1166,335
1269,89,849
1270,1168,337
1271,674,749
1272,462,1164
1273,519,996
1274,473,40
1275,1129,340
1276,1212,499
1277,1159,1291
1278,545,310
1279,841,108
1280,539,1004
1281,628,389
1282,925,1214
1283,393,1181
1284,175,221
1285,706,428
1286,646,222
1287,431,640
1288,475,1050
1289,749,954
1290,89,1314
1291,313,695
1292,1014,1186
1293,944,1295
1294,484,837
1295,19,158
1296,1128,1046
1297,96,1175
1298,386,216
1299,1230,2
1300,518,659
1301,785,755
1302,800,254
1303,758,1266
1304,783,48
1305,828,1064
1306,8,428
1307,905,266
1308,907,514
1309,634,838
1310,786,1318
1311,1018,99
1312,233,160
1313,66,87
1314,1142,862
1315,387,846
1316,410,555
1317,15,786
1318,1302,187
1319,861,870
1320,1042,1177
1321,399,191
1322,31,32
1323,1015,977
1324,293,1315
1325,979,907
1326,44,641
1327,980,1027
1328,842,901
1329,138,591
1330,575,861
1331,433,328
1332,233,228
1333,369,458
1334,1060,226
1335,1302,1028
1336,1180,792
1337,915,689
1338,997,195
1339,750,1122
1340,837,1261
1341,274,290
1342,277,1039
1343,1176,1036
1344,946,868
1345,743,390
1346,692,718
1347,938,19
1348,950,299
1349,580,4
1350,113,279
1351,1114,16
1352,870,1076
1353,674,655
1354,656,1262
1355,1315,282
1356,372,281
1357,9,678
1358,953,236
1359,219,997
1360,1223,671
1361,717,1158
1362,18,66
1363,617,77
1364,996,1197
1365,1055,289
1366,390,1299
1367,1277,635
1368,1243,147
1369,347,960
1370,474,944
1371,1139,770
1372,897,1096
1373,924,676
1374,123,640
1375,323,1130
1376,1053,766
1377,382,390
1378,532,30
1379,418,1017
1380,503,847
1381,1289,256
1382,961,1292
1383,836,257
1384,442,1295
1385,62,270
1386,774,94
1387,937,826
1388,93,331
1389,773,1133
1390,450,785
1391,640,1171
1392,179,295
1393,1026,948
1394,386,661
1395,520,283
1396,346,595
1397,247,1288
1398,438,1014
1399,746,253
1400,663,271
1401,702,1257
1402,535,984
1403,6,828
1404,669,84
1405,495,854
1406,815,894
1407,387,1265
1408,524,1098
1409,366,1304
1410,419,477
1411,1219,736
1412,182,481
1413,690,1041
1414,1184,1007
1415,466,643
1416,1230,1289
1417,408,1143
1418,205,640
1419,103,731
1420,490,336
1421,711,990
1422,402,945
1423,1245,561
1424,902,1297
1425,390,1275
1426,212,356
1427,212,1259
1428,556,811
1429,207,119
1430,466,416
1431,672,948
1432,1187,1071
1433,728,144
1434,1025,1029
1435,507,118
1436,168,348
1437,908,1146
1438,604,530
1439,1169,243
1440,504,717
1441,380,451
1442,929,318
1443,560,41
1444,1037,1075
1445,1256,1263
1446,6,593
1447,861,753
1448,935,955
1449,1286,1117
1450,1177,1141
1451,560,74
1452,1297,34
1453,883,741
1454,686,5
1455,516,1048
1456,247,1234
1457,546,447
1458,612,1136
1459,448,81
1460,689,1094
1461,1213,1292
1462,623,571
1463,1107,802
1464,386,1077
1465,1023,1316
1466,742,1230
1467,636,385
1468,243,525
1469,822,805
1470,748,657
1471,733,52
1472,118,1279
1473,929,380
1474,499,809
1475,266,983
1476,1224,403
1477,650,147
1478,527,1267
1479,287,782
1480,389,403
1481,1154,993
1482,1312,259
1483,978,44
1484,155,1156
1485,526,321
1486,880,975
1487,386,787
1488,848,1213
1489,430,1231
1490,399,1179
1491,206,39
1492,688,1041
1493,1141,358
1494,26,488
1495,1023,734
1496,955,1179
1497,649,602
1498,1055,964
1499,73,593
1500,1008,280
1501,85,430
1502,655,834
1503,470,1114
1504,483,968
1505,335,514
1506,720,417
1507,346,783
1508,668,889
1509,773,672
1510,751,498
1511,1233,41
1512,1221,285
1513,570,501
1514,913,1111
1515,106,729
1516,859,542
1517,98,223
1518,1148,1073
1519,763,915
1520,682,531
1521,756,13
1522,1265,578
1523,392,559
1524,705,363
1525,161,1163
1526,37,256
1527,769,960
1528,621,1270
1529,762,324
1530,479,109
1531,706,544
1532,935,1272
1533,432,743
1534,626,460
1535,231,342
1536,1265,28
1537,990,94
1538,1280,1062
1539,1168,1231
1540,1042,267
1541,424,787
1542,715,64
1543,725,199
1544,157,16
1545,16,1222
1546,1001,328
1547,463,778
1548,599,463
1549,1219,284
1550,929,44
1551,1008,435
1552,545,1093
1553,698,537
1554,916,903
1555,284,775
1556,737,1318
1557,1312,1236
1558,643,840
1559,1153,845
1560,122,907
1561,1218,1212
1562,1128,1185
1563,417,254
1564,962,1163
1565,214,252
1566,513,1035
1567,181,196
1568,1178,941
1569,607,225
1570,59,1045
1571,540,129
1572,623,840
1573,568,1142
1574,882,1102
1575,468,129
1576,489,1014
1577,306,257
1578,578,1158
1579,146,1254
1580,1044,734
1581,119,699
1582,946,879
1583,584,39
1584,594,1266
1585,614,845
1586,470,1209
1587,1177,376
1588,591,19
1589,122,507
1590,872,1244
1591,1199,163
1592,297,1002
1593,366,899
1594,854,17
1595,389,709
1596,366,71
1597,922,319
1598,526,881
1599,459,1241
1600,266,9
1601,527,1226
1602,1157,1130
1603,199,61
1604,1291,317
1605,560,678
1606,564,1182
1607,1093,1209
1608,803,191
1609,1173,665
1610,265,1140
1611,735,1016
1612,5,232
1613,287,346
1614,1297,889
1615,1225,377
1616,1267,264
1617,623,293
1618,959,621
1619,938,512
1620,230,328
1621,549,756
1622,641,111
1623,307,748
1624,716,1077
1625,189,1093
1626,732,755
1627,156,769
1628,1015,1001
1629,660,617
1630,1282,615
1631,455,1135
1632,415,1285
1633,417,695
1634,585,444
1635,1302,253
1636,886,784
1637,262,313
1638,627,7
1639,682,661
1640,516,560
1641,222,374
1642,368,421
1643,405,903
1644,958,1130
1645,564,303
1646,95,1172
1647,10,2
1648,1250,420
1649,523,1175
1650,597,430
1651,162,214
1652,1282,1150
1653,546,938
1654,781,542
1655,80,316
1656,999,949
1657,891,1258
1658,612,322
1659,816,1238
1660,489,415
1661,39,1130
1662,1063,130
1663,666,1068
1664,394,135
1665,1303,53
1666,853,1083
1667,542,756
1668,806,1240
1669,1297,717
1670,350,1205
1671,388,25
1672,1234,1022
1673,182,681
1674,1177,1072
1675,921,25
1676,210,384
1677,1090,996
1678,80,94
1679,1277,222
1680,772,419
1681,879,1217
1682,855,843
1683,778,106
1684,909,7
1685,958,505
1686,908,176
1687,390,580
1688,640,237
1689,204,1141
1690,1261,1181
1691,242,361
1692,672,1289
1693,356,1144
1694,95,338
1695,57,27
1696,176,1135
1697,1145,821
1698,117,514
1699,1079,315
1700,849,1027
1701,1035,1156
1702,32,76
1703,517,120
1704,728,505
1705,1187,1044
1706,857,696
1707,1208,975
1708,245,52
1709,1217,96
1710,888,265
1711,906,295
1712,3,23
1713,480,713
1714,7,1134
1715,887,639
1716,918,1229
1717,206,734
1718,502,612
1719,948,862
1720,198,1203
1721,1036,591
1722,17,51
1723,1237,559
1724,283,314
1725,1187,1158
1726,96,1019
1727,1296,1209
1728,646,1167
1729,353,1261
1730,837,1167
1731,884,36
1732,952,988
1733,294,74
1734,548,648
1735,811,726
1736,567,1262
1737,702,30
1738,900,435
1739,464,224
1740,446,324
1741,485,180
1742,544,1057
1743,649,693
1744,1045,696
1745,409,424
1746,416,975
1747,50,1271
1748,579,605
1749,693,913
1750,816,137
1751,886,1105
1752,519,351
1753,1103,1084
1754,676,356
1755,827,840
1756,469,785
1757,452,508
1758,474,93
1759,971,998
1760,936,59
1761,653,650
1762,815,840
1763,389,707
1764,868,883
1765,527,502
1766,983,204
1767,947,1125
1768,1075,354
1769,733,756
1770,113,928
1771,806,1306
1772,108,1145
1773,396,635
1774,1111,1017
1775,1207,152
1776,436,907
1777,763,740
1778,401,1269
1779,1090,297
1780,535,509
1781,1185,984
1782,762,435
1783,168,1043
1784,536,427
1785,988,1024
1786,441,1212
1787,383,733
1788,1004,657
1789,433,769
1790,379,1055
1791,111,809
1792,324,225
1793,532,538
1794,908,256
1795,421,18
1796,504,26
1797,1300,150
1798,377,794
1799,824,393
1800,64,664
1801,859,1125
1802,671,358
1803,235,959
1804,667,671
1805,749,579
1806,476,553
1807,307,147
1808,1258,246
1809,746,292
1810,84,1039
1811,1222,1302
1812,1079,1046
1813,107,1285
1814,693,1116
1815,1140,198
1816,381,187
1817,182,1235
1818,225,953
1819,979,616
1820,734,232
1821,1095,1098
1822,1021,779
1823,984,367
1824,321,1036
1825,1160,148
1826,927,1011
1827,763,432
1828,676,893
1829,1021,1254
1830,1040,596
1831,896,619
1832,958,722
1833,970,1052
1834,325,444
1835,623,510
1836,721,1235
1837,48,904
1838,972,283
1839,1122,316
1840,669,1073
1841,815,1219
1842,30,327
1843,556,927
1844,1134,223
1845,693,434
1846,641,135
1847,589,1174
1848,836,1044
1849,676,336
1850,1177,67
1851,56,25
1852,431,767
1853,337,719
1854,418,1233
1855,1104,168
1856,368,839
1857,470,957
1858,245,1135
1859,584,833
1860,1180,979
1861,556,1209
1862,481,692
1863,669,1197
1864,889,372
1865,1184,189
1866,551,650
1867,749,592
1868,214,1295
1869,485,1092
1870,1308,1186
1871,1164,721
1872,822,1063
1873,551,125
1874,992,1235
1875,516,7
1876,562,703
1877,529,1119
1878,265,1040
1879,41,315
1880,920,10
1881,597,322
1882,1131,336
1883,1064,930
1884,684,604
1885,802,270
1886,140,429
1887,601,895
1888,1180,643
1889,865,109
1890,211,211
1891,820,183
1892,381,746
1893,18,183
1894,787,779
1895,668,720
1896,524,527
1897,661,721
1898,951,136
1899,978,132
1900,332,207
1901,303,1015
1902,655,921
1903,5,692
1904,838,215
1905,762,970
1906,432,365
1907,564,670
1908,866,589
1909,968,586
1910,27,547
1911,628,915
1912,709,126
1913,1302,224
1914,604,1305
1915,958,710
1916,1244,754
1917,919,389
1918,659,513
1919,1104,934
1920,109,232
1921,806,264
1922,902,804
1923,1185,1313
1924,1116,717
1925,816,255
1926,917,627
1927,276,222
1928,154,199
1929,370,1017
1930,541,119
1931,1207,525
1932,637,635
1933,44,637
1934,1217,988
1935,617,1196
1936,692,288
1937,711,308
1938,233,1033
1939,1148,262
1940,209,1077
1941,506,891
1942,610,1199
1943,162,664
1944,482,625
1945,668,1079
1946,773,523
1947,719,1168
1948,633,943
1949,1185,666
1950,306,1060
1951,59,222
1952,432,208
1953,898,333
1954,613,538
1955,694,384
1956,1095,39
1957,1257,635
1958,1162,494
1959,479,909
1960,80,1089
1961,838,101
1962,1112,966
1963,690,777
1964,438,559
1965,873,934
1966,1208,269
1967,878,105
1968,827,75
1969,173,941
1970,659,500
1971,1171,1250
1972,708,1120
1973,491,992
1974,666,1313
1975,569,687
1976,522,311
1977,545,864
1978,418,468
1979,760,797
1980,656,689
1981,820,1116
1982,1189,42
1983,984,42
1984,382,659
1985,646,1226
1986,472,882
1987,460,513
1988,371,1050
1989,726,925
1990,746,509
1991,71,1174
1992,781,650
1993,1245,307
1994,41,538
1995,567,1315
1996,1123,914
1997,842,1297
1998,1142,1243
1999,1100,342
2000,414,126
2001,217,939
2002,436,472
2003,205,1031
2004,447,1259
2005,668,771
