id,paragraph_lemmatized
11,федеральный закон от 2005 93 фз наказываться штраф в размер от сто тысяча до пятьсот тысяча рубль или в размер заработный плата или иной доход осудить за период от один год до три год либо лишение право занимать определённый должность или заниматься определённый деятельность на срок от один год до пять год либо обязательный работа на срок от сто восемьдесят до двести сорок часы либо исправительный работа на срок от один год до два год либо лишение свобода на срок до два год федеральный закон от 2003 162 фз федеральный закон от 2005 93 фз внести изменение в примечание к статья вступать в сила по истечение шесть год после день вступление в сила указанный федеральный закон
12,изнасилование а повлечь по неосторожность смерть потерпевший б повлечь по неосторожность причинение тяжкий вред здоровье потерпевший заражение она или иной тяжкий последствие в потерпевший заведомо не достигнуть четырнадцатилетний возраст наказываться лишение свобода на срок от восемь до пятнадцать год о судебный практика по дело о преступление предусмотренный статья 132 ук рф сантиметр постановление пленум верховный суд рф от 2004 11 мужеложство лесбиянство или иной действие сексуальный характер с применение насилие или с угроза он применение к потерпевший потерпевший или к другой лицо либо с использование беспомощный состояние потерпевший потерпевший наказываться лишение свобода на срок от три до шесть год
13,хороший стать никто неведомый хороший стать невидимый тень ты форма отлив человек сотворить издавна что ж наш природа различный изъян полный коль форма из глина прекрасный зачем разбивать а если плохой этот форма чей в это вино ни увеличить мы нельзя ни приуменьшить свой удел не огорчаться же мудрец пустой иль важный дело увы я к вывод прийти твой ль судьба мой ль судьба не воск в рука никто досель придать она форма не суметь весь и зло и добро что людская скрывать природа высокий воля подвластный и здесь не дать мы свобода
14,федеральный закон от 2003 162 фз 3 деяние предусмотренный часть один и два настоящий статья совершенный организовать группа либо с применение насилие опасный для жизнь или здоровье наказываться лишение свобода на срок от пять до двенадцать год незаконный пересечение государственный граница российский федерация 1 пересечение государственный граница российский федерация без действительный документ на право въезд в российский федерация или выезд из российский федерация либо без надлежащий разрешение получить в порядок установленный законодательство российский федерация в ред федеральный закон от 2003 98 фз наказываться штраф в размер до двести тысяча рубль или в размер заработный плата или иной доход осудить за период до восемнадцать месяц либо лишение свобода на срок до два год
15,писаться конечно а то в океан послать бедняк нигде не страшно я б давно записаться только зоя сеять бояться если соя то она ведь официальный злак ну не сеять я учесть твой психология записать бедняк в колхоз активист вынужденный быть дать он квитанция в приём в членство и в тот что в колхоз не быть зоя и выдумать здесь же надлежащий форма для этот квитанция так как бедняк нипочём не уходить без нея снаружи в то время весь гуща падать холодный снег земля от снег стать смирный но звук середняцкий настроение мешать наступить сплошной тишина
16,ну прекрасно сказать тогда чиклин а кто ж они убить мы товарищ чиклин неизвестно мы сам жить нечаянно произнести чиклин и сделать мужик удар в лицо чтоб он стать жить сознательно мужик быть упасть но побояться далеко уклоняться даба чиклин не подумать про он зажиточный и ещё близкий предстать перед он желать посильный изувечиться и затем исходатайствовать себя посредством мучение право жизнь бедняк чиклин видеть перед себя такой существо двинуть он механически в живот и мужик опрокинуться закрыть свой жёлтый глаз
17,федеральный закон от 2003 162 фз примечание под другой механический транспортный средство в настоящий статья пониматься троллейбус а также трактор и иной самоходный машина мотоцикл и иной механический транспортный средство федеральный закон от 2003 162 фз недоброкачественный ремонт транспортный средство и выпуск они в эксплуатация с технический неисправность 1 недоброкачественный ремонт транспортный средство путь сообщение средство сигнализация или связь либо иной транспортный оборудование а равно выпуск в эксплуатация технически неисправный транспортный средство лицо ответственный за технический состояние транспортный средство если этот деяние повлечь по неосторожность причинение тяжкий вред здоровье человек в ред
18,писать то что с они нельзя не согласиться а ты попробовать не согласиться в слеза произнести активный человек эх горе я с революция серьёзно опечалиться жачев где же ты самый пущий стерва идти дорогой получить от увечный воин почувствовать мысль и одиночество не желать безответно тратить средство на государство и будущее поколение активист снять с настя свой пиджак раз он устранять пусть масса сам греться и с пиджак в рука он стать посреди оргдома без дальнейший стремление к жизнь весь в крупный слеза и в тот сомнение душа что капитализм пожалуй мочь ещё явиться
19,федеральный закон от 2003 162 фз статья 305 вынесение заведомо неправосудный приговор решение или иной судебный акт 1 вынесение судья судья заведомо неправосудный приговор решение или иной судебный акт наказываться штраф в размер до триста тысяча рубль или в размер заработный плата или иной доход осудить за период до два год либо лишение свобода на срок до четыре год федеральный закон от 2003 162 фз 2 то же деяние связанный с вынесение незаконный приговор суд к лишение свобода или повлечь иной тяжкий последствие наказываться лишение свобода на срок от три до десять год
20,от бездна мрачный надир до кульминация кейван я разрешить загадка мир трудиться над они неустанно трудный узел вселенная распутать я проникновенно и лишь узел простой смерть не развязать я вот что странно коль расти из корень счастие вечный ветвь торжество если жизнь одежда тесный стать тело твой не надеяться на телесный на походный свой шатёр ибо слабый весь четыре древние колышек он гнать я по пята судьба на путь роковой каждый дело мой дурной завершать конец в путь снарядиться душить пожитки свой собрать молвить негде я жить убогий мой рушиться дом
21,прушевский с удивление привыкнуть к печаль человек наблюдать точный нежность и охладить сомкнутый сила отдалённый монумент он ещё не видеть такой вера и свобода в сложить камень и не знать самосветящийся закон для серый цвет свой родина как остров стоялый среди остальной новостроящийся мир этот белый сюжет сооружение и успокоенно светиться но не весь быть белый в тот здание в иной место они иметь синий жёлтый и зелёный цвет что придавать имя нарочный красота детский изображение когда же это выстроить с огорчение сказать прушевский он уютный быть чувствовать скорбь на земной потухший звезда чужое и дальний счастие возбуждать в немой стыд и тревога он бы хотеть не сознавать чтобы вечно строиться и недостроенный мир быть похожий на он разрушить жизнь
22,деяние предусмотренный часть один или два настоящий статья совершенный с использование для занятие проституция лицо заведомо не достигнуть четырнадцатилетний возраст наказываться лишение свобода на срок от три до десять год незаконный распространение порнографический материал или предмет незаконный изготовление в цель распространение или рекламирование распространение рекламирование порнографический материал или предмет а равно незаконный торговля печатный издание кино или видеоматериал изображение или иной предмет порнографический характер наказываться штраф в размер от сто тысяча до триста тысяча рубль или в размер заработный плата или иной доход осудить за период от один год до два год либо лишение свобода на срок до два год
23,судимость в соответствие с настоящее кодекс учитываться при рецидив преступление и при назначение наказание о применение часть два статья 86 сантиметр постановление конституционный суд рф от 2003 3 плата лицо освободить от наказание считаться несудимый судимость погашаться а в отношение лицо условно осудить по истечение испытательный срок б в отношение лицо осудить к более мягкий вид наказание чем лишение свобода по истечение один год после отбытие или исполнение наказание в ред федеральный закон от 2003 162 фз в в отношение лицо осудить к лишение свобода за преступление небольшой или средний тяжесть по истечение три год после отбытие наказание год в отношение лицо осудить к лишение свобода за тяжкий преступление по истечение шесть год после отбытие наказание далее в отношение лицо осудить за особо тяжкий преступление по истечение восемь год после отбытие наказание
24,федеральный закон от 2003 162 фз часть один в ред федеральный закон от 2003 94 фз 2 тот же деяние а соединить с подкуп обман принуждение применение насилие либо с угроза он применение в ред федеральный закон от 2003 94 фз б совершенный лицо с использование свой служебный положение в совершенный группа лицо по предварительный сговор или организовать группа наказываться штраф в размер до двести тысяча рубль или в размер заработный плата или иной доход осудить за период до восемнадцать месяц либо исправительный работа на срок от один год до два год либо арест на срок до шесть месяц либо лишение свобода на срок до пять год
25,федеральный закон от 2003 162 фз 2 тот же деяние совершенный группа лицо по предварительный сговор в ред федеральный закон от 2003 162 фз наказываться лишение свобода на срок от два до шесть год деяние предусмотренный часть один или два настоящий статья совершенный организовать группа наказываться лишение свобода на срок от пять до восемь год федеральный закон от 1998 92 фз 4 незаконный сбыт газовый оружие холодное оружие в тот число метательный оружие в ред
26,с особа трогательность он относиться к тем человек который ранее не любить теперь он чувствовать в они почти главный загадка свой жизнь и пристально вглядываться в чуждый и знакомый глупый лицо волноваться и не понимать неизвестный человек оказаться новый рабочий что прислать пашкин для обеспечение государственный темп но рабочий прибыть не быть чиклин сразу без пристальность обнаружить в они переучить наоборот городской служащий разный степной отшельник и человек привыкнуть идти тихий шагом позади трудящийся лошадь в они тело не замечаться никакой пролетарский талант труд они более способный быть лежать навзничь или покоиться иначе
27,таж к никола на угрешить тут государь присылать к я голова юрье лутохина благословение ради и кой о чем много говорить тажа опять ввезти в москва мы на никольский подворье и взять у мы о правоверие ещё сказка потом к я комнатный человек многажды присылана быть артемон и дементея и говорить я царёв глагол протопоп я твой чистый и непорочный и богоподражательный житие твоевый благословение и с царица и с чад помолисить о мы и я по немой всегда плачть жаль я сильно ево
28,федеральный закон от 2003 162 фз б утратить сила федеральный закон от 2003 162 фз в не менее два треть срок наказание назначить суд за особо тяжкий преступление срок давность срок давность предусмотренный статья 78 и 83 настоящий кодекс при освобождение несовершеннолетний от уголовный ответственность или от отбывание наказание сокращаться наполовину срок погашение судимость для лицо совершить преступление до достижение возраст восемнадцать год срок погашение судимость предусмотренный частью три статья 86 настоящий кодекс сокращаться и соответственно равный а один год после отбытие лишение свобода за преступление небольшой или средний тяжесть б три год после отбытие лишение свобода за тяжкий или особо тяжкий преступление
29,этот задний быть угрюмый ничтожный весь тело пот слабость капать в глина с он мутный однообразный лицо обрасти по окружность редкий волос при подъём земля на урез котлован он кашлять и вынуждать из себя мокрота а потом успокоиться закрывать глаз словно желать сон опять ответить козлов свой бледный голос ребёнок наслаждаться много произнести сафронов быть ты класть спать теперь на стол под лампа чтоб ты лежалый и стыдиться козлов поглядеть на сафронов красный сырой глаз и промолчать от равнодушный утомление
30,мы сперва покупать вино молодой за два зёрнышко весь уступать земной где ты быть в аду иль в рая дать вино и оставить я братец в покой если истина в мир условный что ж сердце губить предаваться ты скорбь страдание свой возлюбя с тем что есть примириться о мудрец то что вечный калам предначертать весь не измениться ради ты я мука разлука наш не забыть искать ты невольно верить чудо ты к страждущий покинутый вернуться
31,заведомо ложный донос о совершение преступление наказываться штраф в размер до сто двадцать тысяча рубль или в размер заработный плата или иной доход осудить за период до один год либо обязательный работа на срок от сто восемьдесят до двести сорок часы либо исправительный работа на срок от один год до два год либо арест на срок от три до шесть месяц либо лишение свобода на срок до два год федеральный закон от 2003 162 фз 2 то же деяние соединить с обвинение лицо в совершение тяжкий или особо тяжкий преступление в ред
32,федеральный закон от 2003 162 фз статья 134 половый сношение и иной действие сексуальный характер с лицо не достигнуть шестнадцатилетний возраст в ред федеральный закон от 1998 92 фз от 2003 162 фз половый сношение мужеложство или лесбиянство совершенный лицо достигнуть восемнадцатилетний возраст с лицо заведомо не достигнуть шестнадцатилетний возраст в ред федеральный закон от 1998 92 фз от 2003 162 фз наказываться ограничение свобода на срок до три год или лишение свобода на срок до четыре год
33,федеральный закон от 2003 162 фз в мужчина осудить к лишение свобода за совершение особо тяжкий преступление ранее не отбывать лишение свобода а также при рецидив или опасный рецидив преступление если осудить ранее отбывать лишение свобода в исправительный колония строгий режим в ред федеральный закон от 2003 162 фз год мужчина осудить к пожизненный лишение свобода а также при особо опасный рецидив преступление в исправительный колония особый режим мужчина осудить к лишение свобода за совершение особо тяжкий преступление на срок свыше пять год а также при особо опасный рецидив преступление отбывание часть срок наказание мочь быть назначить в тюрьма при это суд засчитывать время содержание осудить под стража до вступление в законный сила обвинительный приговор в срок отбывание наказание в тюрьма
34,нет забота аллах покорный мы иль непокорный здесь взять свой счастие вот смертный извечный закон в сон сказать я пир покинуть свой кровать ведь роза радость нельзя в сон сорвать ты лежебок весь спать а сон подобный смерть ведь потом век ты прийтись спать долго ли я тужить о тот что давно решить и хорошо ли прожить я век мой судьба дать выдохнуть я этот вдох или нет и сам я не знать ну так скорый в этот чаша чистый лей я вино
35,время же яко полнощь и пришед в свой изба плакався пред образ господний яко и око опухнуть и молясь прилежно да же отлучить мя бог от ребёнок духовный понеже бремя тяжко неудобь носить и падоха на земля на лица свой рыдаша горец и забыхнуться лёжа не вем как плачть а око сердечние при река волга видеть пловута стройно два корабль злата и весло на они злата и шест злата и весь злато по единый кормщик на они сиделец и я спросить чей корабль
36,он ведь только работать мочь а как отдохнуть задуматься так скучать начинать пусть существовать теперь как предмет на вечный память я весь угостить угощать грядущий сволочь согласиться жачев беречь для нея жалкий продукт наклониться вощев стать собирать вынуть настя ветхий вещий необходимый для будущее отмщение в свой мешок чиклин поднять настя на рука и она открыть опасть свой высохший как лист смолкнуть глаз через окно девочка засмотреться на близко приникнуть друг к друг колхозный мужик залечь под навес в терпеливый забвение
37,а мочь ничто не стать что ты осатанелый что ли он союзный намедни товарищ пашкин специально приезжать он ведь тоже скучно без батрак а елисей говорить маленький но горевать почти что большой весь он и когда иметь так ночь не спасть весь следить как бы что не погибнуть как бы лошадь не опиться не объесться да корова чтоб настроение иметь а теперь когда весь колхоз весь здешний мир отдать он забота потому что на другой надеяться он опасаться теперь у он уже загодя болеть живот от страх такой имущество
38,федеральный закон от 2003 162 фз 2004 73 фз примечание лицо добровольно прекратить участие в экстремистский сообщество освобождаться от уголовный ответственность если в он действие не содержаться иной состав преступление организация деятельность экстремистский организация ввести федеральный закон от 2002 112 фз 1 организация деятельность общественный или религиозный объединение либо иной организация в отношение который суд принять вступить в законный сила решение о ликвидация или запрет деятельность в связь с осуществление экстремистский деятельность наказываться штраф в размер от сто тысяча до триста тысяча рубль или в размер заработный плата или иной доход осудить за период от один год до два год либо арест на срок от четыре до шесть месяц либо лишение свобода на срок до три год
39,федеральный закон от 2003 162 фз 2 то же деяние совершенный с применение насилие или с угроза он применение наказываться штраф в размер до двести тысяча рубль или в размер заработный плата или иной доход осудить за период до восемнадцать месяц либо лишение свобода на срок до два год федеральный закон от 2003 162 фз 3 деяние предусмотренный часть один или два настоящий статья совершенный лицо с использование свой служебный положение наказываться штраф в размер от сто тысяча до триста тысяча рубль или в размер заработный плата или иной доход осудить за период от один год до два год либо лишение право занимать определённый должность или заниматься определённый деятельность на срок от два до пять год либо арест на срок от два до четыре месяц либо лишение свобода на срок до три год
40,федеральный закон от 2003 162 фз 2 ненадлежащий исполнение обязанность по охрана ядерный химический или другой вид оружие массовый поражение либо материал или оборудование который мочь быть использовать при создание оружие массовый поражение если это повлечь тяжкий последствие либо создать угроза они наступление наказываться штраф в размер до сто двадцать тысяча рубль или в размер заработный плата или иной доход осудить за период до один год либо лишение свобода на срок до семь год с лишение право занимать определённый должность или заниматься определённый деятельность на срок до три год
41,если роза не мы и шип вместо дар довольно если свет не для мы мы очажный жара довольно если нет ни наставник ни ханака ни нырок с мы и церковь и колокол и зуннара довольно ты сам ведь из глина я изваять я словно ткань ты на стена соткать весь зло и добро что я в мир верша ты сам предрешить удел мой ты сам я на лоб начертать кто губа прекрасный улыбка беспечный дать кто в удел скорбеть печаль сердечный дать
42,я больной духовный недуг мой тело томить отказ от вино я воистину смерть грозить и странно что сколько я не пить лекарство и бальзам весь вредный я только один лишь вино не вредить мой скорбь кровавый ручей сотня башня бы снести десять тысяча строение подмыть бы поток мой слеза не ресница на век мой жёлоб дождевой коль ресница сомкнуть от потоп бежать бы прийтись я бог запретить то что я пожелать так сбыться ли оно то что я пожелать коль праведно весь что изед захотеть справедливый так значит весь ложно грешный то что я пожелать
